"id","name","image","addr"
129,Chubby Noodle,https://s3-media2.fl.yelpcdn.com/bphoto/JrLjjC-uFJCseXygxOuk_A/o.jpg,"2205 Lombard St, San Francisco, CA 94123"
130,Basil Thai Restaurant & Bar,https://s3-media3.fl.yelpcdn.com/bphoto/e0OWuYSE55WArJSMb0zyDQ/o.jpg,"1175 Folsom St, San Francisco, CA 94103"
131,Barcha,https://s3-media3.fl.yelpcdn.com/bphoto/4iguc--LmeUxxuEJCmJdaQ/o.jpg,"28 Fremont St, San Francisco, CA 94105"
132,Nick's Crispy Tacos,https://s3-media4.fl.yelpcdn.com/bphoto/hVCVrVFjEHwZqA5ujDfxfg/o.jpg,"1500 Broadway, San Francisco, CA 94109"
133,Souvla,https://s3-media2.fl.yelpcdn.com/bphoto/zWdepWanMEHyq2QPotQgSA/o.jpg,"531 Divisadero St, San Francisco, CA 94117"
134,Koja Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/gmOgBfr9AznLz47yD6jvRQ/o.jpg,"343 Clement St, San Francisco, CA 94118"
135,Burma Love,https://s3-media3.fl.yelpcdn.com/bphoto/ofu7k8bW9GxG_kBlcTF30w/o.jpg,"211 Valencia St, San Francisco, CA 94103"
136,Aria Korean Tapas,https://s3-media1.fl.yelpcdn.com/bphoto/dl_1Kbcfg-KYi1T9LCOlDw/o.jpg,"932 Larkin St, San Francisco, CA 94109"
137,Serpentine,https://s3-media2.fl.yelpcdn.com/bphoto/U1oeg4GkPp2PYFvqYqsDQQ/o.jpg,"2495 3rd St, San Francisco, CA 94107"
138,Bluestem Brasserie,https://s3-media2.fl.yelpcdn.com/bphoto/maPFahxo1lZPeWLEBANSqQ/o.jpg,"One Yerba Buena Ln, San Francisco, CA 94103"
139,The Snug,https://s3-media2.fl.yelpcdn.com/bphoto/ILBwPmLC7lnkYhNLmjGlkA/o.jpg,"2301 Fillmore St, San Francisco, CA 94115"
140,Nopalito,https://s3-media1.fl.yelpcdn.com/bphoto/ivWbAmbGMo0_aruu2kTKsg/o.jpg,"1224 9th Ave, San Francisco, CA 94122"
141,Thanh Long,https://s3-media4.fl.yelpcdn.com/bphoto/ukHLQEd1wnsLjqtRRCs6hw/o.jpg,"4101 Judah St, San Francisco, CA 94122"
142,Rambler,https://s3-media1.fl.yelpcdn.com/bphoto/uHuoxtFp7Y-j9h8-Yi7BKA/o.jpg,"545 Post St, San Francisco, CA 94102"
143,The Dorian,https://s3-media1.fl.yelpcdn.com/bphoto/V-FzQ2ezVUTcSXjlDWSU5g/o.jpg,"2001 Chestnut St, San Francisco, CA 94123"
144,Muracci's Japanese Curry & Grill,https://s3-media3.fl.yelpcdn.com/bphoto/pqGATapVx1nBqX1pVyQDKA/o.jpg,"307 Kearny St, Ste 204, San Francisco, CA 94108"
145,Queen's Louisiana Po-Boy Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/b0E54Qdr5_n1b1NklII1Qw/o.jpg,"Pier 33 N The Embarcadero, Ste 100, San Francisco, CA 94111"
146,The Monk's Kettle,https://s3-media1.fl.yelpcdn.com/bphoto/47kA45l9yNMMPg1P_qbCGw/o.jpg,"3141 16th St, San Francisco, CA 94103"
147,Hard Knox Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/9qypTdiM9OrfS6iUNO_QpQ/o.jpg,"2526 3rd St, San Francisco, CA 94107"
148,Chubby Noodle,https://s3-media2.fl.yelpcdn.com/bphoto/TGTDURVKGeaRLJl6jXkHVw/o.jpg,"1310 Grant St, San Francisco, CA 94133"
149,Spruce,https://s3-media4.fl.yelpcdn.com/bphoto/tvg0xlda6LoH-NXEWbC9hA/o.jpg,"3640 Sacramento St, San Francisco, CA 94118"
150,Delicious Dim Sum,https://s3-media4.fl.yelpcdn.com/bphoto/XikMaSI2cOA7JN2aKkFu3A/o.jpg,"752 Jackson St, San Francisco, CA 94133"
151,El Farolito,https://s3-media1.fl.yelpcdn.com/bphoto/OPnKCvgBR2-lQ1-yahrpiA/o.jpg,"2779 Mission St, San Francisco, CA 94110"
152,Sauce - Belden,https://s3-media4.fl.yelpcdn.com/bphoto/6neV_CV1KTTzAYUzaZLTJA/o.jpg,"56 Belden Pl, San Francisco, CA 94104"
153,Cioppino's,https://s3-media4.fl.yelpcdn.com/bphoto/_1-K4-7H82lMvBEtIff4VA/o.jpg,"400 Jefferson St, San Francisco, CA 94109"
154,Iza Ramen SOMA,https://s3-media2.fl.yelpcdn.com/bphoto/cXc-iBLasYmSUv2-tPfhdg/o.jpg,"1155 Folsom St, San Francisco, CA 94103"
155,Katana-Ya,https://s3-media2.fl.yelpcdn.com/bphoto/CmJeucrF_5Cp6195PgRsRw/o.jpg,"422 Geary St, San Francisco, CA 94102"
156,Zuni Café,https://s3-media3.fl.yelpcdn.com/bphoto/SFIHYbU--AOvyi20410ong/o.jpg,"1658 Market St, San Francisco, CA 94102"
157,Truly Mediterranean,https://s3-media2.fl.yelpcdn.com/bphoto/O4RGcEt40OIuLg4YxfRHsQ/o.jpg,"3109 16th St, San Francisco, CA 94103"
158,Franciscan Crab Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/spodGYUfCF_PCpzbXOEqmQ/o.jpg,"Pier 43 1/2 Fisherman's Wharf, Fisherman's Wharf, San Francisco, CA 94133"
159,Cockscomb,https://s3-media2.fl.yelpcdn.com/bphoto/O7zkt9UtmenwMF3_fsjt3w/o.jpg,"564 4th St, San Francisco, CA 94107"
160,RM 212,https://s3-media4.fl.yelpcdn.com/bphoto/Sw8EHAaSUQLM4cj-wl5FXQ/o.jpg,"690 Sacramento St, San Francisco, CA 94111"
161,Kogi Gogi BBQ,https://s3-media2.fl.yelpcdn.com/bphoto/hCGkU64nNyTdPwsDVTt5DQ/o.jpg,"1358 9th Ave, San Francisco, CA 94122"
